id,LocationName,SupportName,VpnStatus,GameCount,PaymentCount,LicenseCount,StatusPoint,Type,CheckStatusLocation,CheckStatusWeb,CheckStatusCustomer,CheckStatusLiveChat,PerfectPoint,IconsLocation,ImageLocationPath
21,J-TAN,topcare tussin cf max,false,21,21,21,true,21,true,true,false,true,false,21,Mauris.doc
22,Estradiol Transdermal System,Acyclovir,false,22,22,22,false,22,true,true,false,true,true,22,MolestieSed.avi
23,CELEBREX,Paroxetine,true,23,23,23,true,23,false,false,false,false,false,23,LeoOdioPorttitor.xls
24,Lactated Ringers,hemorrhoidal,true,24,24,24,false,24,false,true,false,false,false,24,DuisAliquamConvallis.avi
25,Guaifenesin and Codeine Phosphate,XtraCare Foam Antibacterial Hand Wash,true,25,25,25,true,25,false,true,true,true,false,25,NisiVenenatis.xls
26,Scar Remover,Rozerem,false,26,26,26,true,26,true,true,true,true,false,26,ErosElementumPellentesque.jpeg
27,Cough and Cold Relief,Timolol Maleate,false,27,27,27,false,27,false,true,true,true,false,27,QuisTurpisSed.jpeg
28,Esoterica,Piperacillin and Tazobactam,false,28,28,28,true,28,true,false,false,false,true,28,SuscipitLigula.tiff
29,SHRIMP,CLOZAPINE,false,29,29,29,false,29,true,true,true,false,false,29,AccumsanTellus.xls
30,Testosterone Cypionate,Hydroxyzine Hydrochloride,false,30,30,30,false,30,true,false,false,true,true,30,IpsumPrimis.xls
31,SARAH CHAPMAN London SKINESIS Dynamic Defence Anti-Ageing Day SPF 15,Treatment Set TS345694,false,31,31,31,true,31,true,true,true,true,false,31,NuncPurus.avi
32,Mupirocin,Green Guard Ibupro Relief,false,32,32,32,false,32,true,true,false,false,false,32,SuspendisseAccumsan.pdf
33,XtraCare Foam Antibacterial Hand Wash,Bupropion,true,33,33,33,false,33,false,false,true,false,true,33,PrimisIn.avi
34,DELATESTRYL,Lithium Carbonate,false,34,34,34,true,34,true,true,true,true,true,34,VivamusVelNulla.pdf
35,tramadol hydrochloride,Levetiracetam,false,35,35,35,false,35,false,false,false,true,true,35,IpsumAliquamNon.xls
36,Diltiazem Hydrochloride,Alka-Seltzer Plus,false,36,36,36,true,36,false,true,false,false,true,36,Et.jpeg
37,Zeel,isosorbide mononitrate,false,37,37,37,false,37,true,true,true,false,true,37,NasceturRidiculusMus.jpeg
38,Ovarium 6 Special Order,Amoxicillin and Clavulanate Potassium,false,38,38,38,true,38,false,false,false,true,true,38,LectusInQuam.gif
39,Oxygen-Nitrogen Mixture,Antacid,false,39,39,39,true,39,false,false,true,false,true,39,InFaucibus.mp3
40,Healthy Wear Pressed Bronzer,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,true,40,40,40,true,40,true,true,false,true,false,40,NislNuncRhoncus.txt
41,Anagrelide Hydrochloride,Pure Finish Mineral Powder Foundation SPF 20 Pure Finish 11,false,41,41,41,false,41,false,false,true,true,false,41,RutrumAt.png
42,Nasal,Pleo Leptu,true,42,42,42,false,42,false,false,true,true,true,42,AugueLuctusTincidunt.xls
43,Levofloxacin,Amlodipine Besylate,false,43,43,43,true,43,false,true,true,true,false,43,NonPretiumQuis.mov
44,Black Locust,Clotrimazole and Betamethasone Dipropionate,false,44,44,44,true,44,false,true,false,true,false,44,Nulla.mp3
45,Sore Throat Menthol,MOMLOVE,true,45,45,45,false,45,true,true,false,true,true,45,AcNibhFusce.tiff
46,Labetalol hydrochloride,Lidocaine Hydrochloride,true,46,46,46,true,46,false,false,true,false,false,46,Luctus.tiff
47,FLAWLESS FINISH PERFECTLY NUDE MAKEUP BROAD SPECTRUM SUNSCREEN SPF 15 SHADE BUFF,Olay Fresh Effects BB,false,47,47,47,true,47,false,true,false,false,false,47,Tincidunt.png
48,Losartan Potassium and Hydrochlorothiazide,Moore Medical LLC Ibuprofen,false,48,48,48,false,48,false,false,false,true,true,48,EtUltrices.ppt
49,Sleep Aid,Thiola,true,49,49,49,false,49,false,false,true,false,true,49,HabitassePlateaDictumst.png
50,Nighttime Cold and Flu,Aqualant,true,50,50,50,true,50,false,true,true,false,false,50,VulputateLuctus.png
